model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
starcoder2-15b,1,human_5,Data exploration and statistics understand,Feature Selection Impact,Data Validity,Error,0,single task
starcoder2-15b,1,human_5,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
starcoder2-15b,1,human_5,Predictive modeling,F1 Score,Model Accuracy,Error,0,single task
starcoder2-15b,1,human_5,Interpretability and report generation,Report Completeness Score,Report Completeness,0,1,single task (int)
starcoder2-15b,1,human_5,Completion Rate,CR,CR,0.125,0.125,Completion Rate
starcoder2-15b,4,human_15,Data visualization,Bar Chart Color Consistency,Visualization Quality,Error,0,single task
starcoder2-15b,4,human_15,Data visualization,Line Chart Line Style Consistency,Visualization Quality,Error,0,single task
starcoder2-15b,4,human_15,Data visualization,Scatter Chart Point Properties,Visualization Quality,Error,0,single task
starcoder2-15b,4,human_15,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,5,human_15,Data visualization,Bar Chart Color Consistency,Visualization Quality,Error,0,single task
starcoder2-15b,5,human_15,Data visualization,Line Chart Line Style Consistency,Visualization Quality,Error,0,single task
starcoder2-15b,5,human_15,Data visualization,Scatter Chart Point Properties,Visualization Quality,Error,0,single task
starcoder2-15b,5,human_15,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,1,dl_6,Data cleaning and preprocessing,Data Cleaning Accuracy,Data Cleaning Completeness,Error,0,single task
starcoder2-15b,1,dl_6,Data exploration and statistics understand,Basic Statistical Analysis Completeness,Data Integrity,Error,0,single task
starcoder2-15b,1,dl_6,Data mining,Clustering Validity,Clustering Validity,Error,0,single task
starcoder2-15b,1,dl_6,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,0,human_142,Data mining,Association Rules Validity,Clustering Validity,Error,0,single task
starcoder2-15b,0,human_142,Data mining,Frequent Itemsets Validity,Clustering Validity,Error,0,single task
starcoder2-15b,0,human_142,Pattern recognition,Pattern Analysis Completeness Ratio,Completeness,False,1,single task (bool)
starcoder2-15b,0,human_142,Interpretability and report generation,Client Segments Description Cohesion,Report Quality,False,1,single task (bool)
starcoder2-15b,0,human_142,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
starcoder2-15b,0,human_142,Completion Rate,CR,CR,0.3,0.3,Completion Rate
starcoder2-15b,8,human_1,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
starcoder2-15b,8,human_1,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,2,human_23,Data cleaning and preprocessing,Mean Absolute Error for Missing Values Handling,Data Quality Score,Error,0,single task
starcoder2-15b,2,human_23,Data cleaning and preprocessing,Percentage of Data Within Bounds for Outliers Handling,Data Quality Score,Error,0,single task
starcoder2-15b,2,human_23,Data cleaning and preprocessing,Minimum and Maximum Feature Values Normalization,Normalization Range Check,Error,0,single task
starcoder2-15b,2,human_23,Data cleaning and preprocessing,Date Column Format Verification,Data Quality Score,Error,0,single task
starcoder2-15b,2,human_23,Data cleaning and preprocessing,One-Hot Encoding Consistency Check,Data Quality Score,Error,0,single task
starcoder2-15b,2,human_23,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,3,human_23,Data cleaning and preprocessing,Mean Absolute Error for Missing Values Handling,Data Quality Score,Error,0,single task
starcoder2-15b,3,human_23,Data cleaning and preprocessing,Percentage of Data Within Bounds for Outliers Handling,Data Quality Score,Error,0,single task
starcoder2-15b,3,human_23,Data cleaning and preprocessing,Minimum and Maximum Feature Values Normalization,Normalization Range Check,Error,0,single task
starcoder2-15b,3,human_23,Data cleaning and preprocessing,Date Column Format Verification,Data Quality Score,Error,0,single task
starcoder2-15b,3,human_23,Data cleaning and preprocessing,One-Hot Encoding Consistency Check,Data Quality Score,Error,0,single task
starcoder2-15b,3,human_23,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,2,csv_excel_8,Data visualization,AUC-ROC Score,Visualization Quality,Error,0,single task
starcoder2-15b,2,csv_excel_8,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,9,human_24,Data cleaning and preprocessing,Encoding Consistency Check,Data Quality Score,Error,0,single task
starcoder2-15b,9,human_24,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,1,human_24,Data cleaning and preprocessing,Encoding Consistency Check,Data Quality Score,Error,0,single task
starcoder2-15b,1,human_24,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,6,human_131,Data visualization,Histogram Coverage Ratio,Visualization Completeness,Error,0,single task
starcoder2-15b,6,human_131,Data visualization,Bar Plot Completeness Score,Visualization Quality,Error,0,single task
starcoder2-15b,6,human_131,Data visualization,Correlation Coefficient,Visualization Quality,2,1,single task (int)
starcoder2-15b,6,human_131,Data visualization,Pairplot Clustering Coefficient,Visualization Quality,Error,0,single task
starcoder2-15b,6,human_131,Completion Rate,CR,CR,0.125,0.125,Completion Rate
starcoder2-15b,0,human_7,Data visualization,Visualization Completeness,Visualization Completeness,False,1,single task (bool)
starcoder2-15b,0,human_7,Data mining,Association Rule Coverage,Association Rule Confidence,Error,0,single task
starcoder2-15b,0,human_7,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
starcoder2-15b,0,human_7,Completion Rate,CR,CR,0.3333333333333333,0.3333333333333333,Completion Rate
starcoder2-15b,3,human_21,Data cleaning and preprocessing,Missing Value Imputation Accuracy,Data Completeness,True,2,single task (bool)
starcoder2-15b,3,human_21,Data cleaning and preprocessing,Outlier Replacement Consistency,Data Quality Score,False,1,single task (bool)
starcoder2-15b,3,human_21,Data cleaning and preprocessing,Z-Score Normalization Check,Normalization Range Check,False,1,single task (bool)
starcoder2-15b,3,human_21,Data cleaning and preprocessing,Encoding Accuracy for Diagnosis,Data Quality Score,True,2,single task (bool)
starcoder2-15b,3,human_21,Completion Rate,CR,CR,0.75,0.75,Completion Rate
starcoder2-15b,5,human_0,Data exploration and statistics understand,Summary Statistics Comparison,Data Consistency,Error,0,single task
starcoder2-15b,5,human_0,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
starcoder2-15b,5,human_0,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,0,dl_0,Data cleaning and preprocessing,Missing Value Percentage,Data Completeness,True,2,single task (bool)
starcoder2-15b,0,dl_0,Data exploration and statistics understand,Descriptive Statistics Comparison,Data Consistency,False,1,single task (bool)
starcoder2-15b,0,dl_0,Data mining,Cluster Quality (Silhouette Score),Silhouette Score,False,1,single task (bool)
starcoder2-15b,0,dl_0,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
starcoder2-15b,0,dl_0,Completion Rate,CR,CR,0.625,0.625,Completion Rate
starcoder2-15b,5,human_2,Data cleaning and preprocessing,Data Cleaning Completeness,Data Cleaning Completeness,Error,0,single task
starcoder2-15b,5,human_2,Predictive modeling,Model Performance (R-squared),R-squared Value,Error,0,single task
starcoder2-15b,5,human_2,Predictive modeling,Expenditure Accuracy,Model Accuracy,Error,0,single task
starcoder2-15b,5,human_2,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,7,human_19,Data visualization,Visual Quality Assessment,Visualization Quality,Error,0,single task
starcoder2-15b,7,human_19,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,8,human_19,Data visualization,Visual Quality Assessment,Visualization Quality,5,2,single task (int)
starcoder2-15b,8,human_19,Completion Rate,CR,CR,1.0,1.0,Completion Rate
starcoder2-15b,0,csv_excel_30,Data cleaning and preprocessing,Data Quality - Missing Values Percentage,Data Completeness,Error,0,single task
starcoder2-15b,0,csv_excel_30,Data exploration and statistics understand,Data Accuracy,Data Accuracy,Error,0,single task
starcoder2-15b,0,csv_excel_30,Interpretability and report generation,Report Completeness Score,Report Completeness,Error,0,single task
starcoder2-15b,0,csv_excel_30,Completion Rate,CR,CR,0.0,0.0,Completion Rate
starcoder2-15b,7,csv_excel_30,Data cleaning and preprocessing,Data Quality - Missing Values Percentage,Data Completeness,Error,0,single task
starcoder2-15b,7,csv_excel_30,Data exploration and statistics understand,Data Accuracy,Data Accuracy,Error,0,single task
starcoder2-15b,7,csv_excel_30,Interpretability and report generation,Report Completeness Score,Report Completeness,Error,0,single task
starcoder2-15b,7,csv_excel_30,Completion Rate,CR,CR,0.0,0.0,Completion Rate
