model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
gemma-2-9b-it,0,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
gemma-2-9b-it,0,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gemma-2-9b-it,0,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gemma-2-9b-it,0,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gemma-2-9b-it,0,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gemma-2-9b-it,0,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
gemma-2-9b-it,8,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
gemma-2-9b-it,8,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gemma-2-9b-it,8,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gemma-2-9b-it,8,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gemma-2-9b-it,8,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gemma-2-9b-it,8,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
gemma-2-9b-it,3,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
gemma-2-9b-it,3,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gemma-2-9b-it,3,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gemma-2-9b-it,3,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gemma-2-9b-it,3,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gemma-2-9b-it,3,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
gemma-2-9b-it,1,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
gemma-2-9b-it,1,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gemma-2-9b-it,1,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gemma-2-9b-it,1,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gemma-2-9b-it,1,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gemma-2-9b-it,1,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
gemma-2-9b-it,2,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
gemma-2-9b-it,2,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gemma-2-9b-it,2,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gemma-2-9b-it,2,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gemma-2-9b-it,2,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gemma-2-9b-it,2,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
gemma-2-9b-it,6,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
