model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
glm-4-flash,9,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
glm-4-flash,9,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
glm-4-flash,9,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
glm-4-flash,9,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
glm-4-flash,9,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
glm-4-flash,9,human_8,Completion Rate,CR,CR,0.2,0.2,Completion Rate
glm-4-flash,8,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
glm-4-flash,8,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
glm-4-flash,8,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
glm-4-flash,8,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
glm-4-flash,8,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
glm-4-flash,8,human_8,Completion Rate,CR,CR,0.2,0.2,Completion Rate
glm-4-flash,7,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
glm-4-flash,7,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
glm-4-flash,7,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
glm-4-flash,7,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
glm-4-flash,7,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
glm-4-flash,7,human_8,Completion Rate,CR,CR,0.2,0.2,Completion Rate
glm-4-flash,4,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,Error,0,single task
glm-4-flash,4,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
glm-4-flash,4,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
glm-4-flash,4,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
glm-4-flash,4,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
glm-4-flash,4,human_8,Completion Rate,CR,CR,0.1,0.1,Completion Rate
glm-4-flash,1,human_12,Data cleaning and preprocessing,Percentage of Missing Values,Data Completeness,Error,0,single task
glm-4-flash,1,human_12,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
glm-4-flash,1,human_12,Data mining,Silhouette Score,Clustering Validity,Error,0,single task
glm-4-flash,1,human_12,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
glm-4-flash,1,human_12,Completion Rate,CR,CR,0.125,0.125,Completion Rate
glm-4-flash,9,human_5,Data exploration and statistics understand,Feature Selection Impact,Data Validity,Error,0,single task
glm-4-flash,9,human_5,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
glm-4-flash,9,human_5,Predictive modeling,F1 Score,Model Accuracy,Error,0,single task
glm-4-flash,9,human_5,Interpretability and report generation,Report Completeness Score,Report Completeness,0,1,single task (int)
glm-4-flash,9,human_5,Completion Rate,CR,CR,0.125,0.125,Completion Rate
glm-4-flash,3,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,True,2,single task (bool)
glm-4-flash,3,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,True,2,single task (bool)
glm-4-flash,3,human_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
