model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
deepseek-coder-1.3b-instruct,8,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,Error,0,single task
deepseek-coder-1.3b-instruct,8,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,Error,0,single task
deepseek-coder-1.3b-instruct,8,human_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
deepseek-coder-1.3b-instruct,4,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,Error,0,single task
deepseek-coder-1.3b-instruct,4,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,Error,0,single task
deepseek-coder-1.3b-instruct,4,human_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
deepseek-coder-1.3b-instruct,1,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,Error,0,single task
deepseek-coder-1.3b-instruct,1,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,Error,0,single task
deepseek-coder-1.3b-instruct,1,human_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
deepseek-coder-1.3b-instruct,5,csv_excel_0,Data cleaning and preprocessing,Data Completeness Ratio,Data Completeness,False,1,single task (bool)
deepseek-coder-1.3b-instruct,5,csv_excel_0,Data visualization,Visualization Quality Score,Visualization Quality,False,1,single task (bool)
deepseek-coder-1.3b-instruct,5,csv_excel_0,Interpretability and report generation,Report Completeness Score,Report Completeness,False,1,single task (bool)
deepseek-coder-1.3b-instruct,5,csv_excel_0,Completion Rate,CR,CR,0.5,0.5,Completion Rate
deepseek-coder-1.3b-instruct,3,csv_excel_0,Data cleaning and preprocessing,Data Completeness Ratio,Data Completeness,False,1,single task (bool)
deepseek-coder-1.3b-instruct,3,csv_excel_0,Data visualization,Visualization Quality Score,Visualization Quality,False,1,single task (bool)
deepseek-coder-1.3b-instruct,3,csv_excel_0,Interpretability and report generation,Report Completeness Score,Report Completeness,False,1,single task (bool)
deepseek-coder-1.3b-instruct,3,csv_excel_0,Completion Rate,CR,CR,0.5,0.5,Completion Rate
deepseek-coder-1.3b-instruct,0,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,False,1,single task (bool)
deepseek-coder-1.3b-instruct,0,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
deepseek-coder-1.3b-instruct,0,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,True,2,single task (bool)
deepseek-coder-1.3b-instruct,0,csv_excel_3,Completion Rate,CR,CR,0.5,0.5,Completion Rate
deepseek-coder-1.3b-instruct,8,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,Error,0,single task
deepseek-coder-1.3b-instruct,8,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
deepseek-coder-1.3b-instruct,8,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,Error,0,single task
deepseek-coder-1.3b-instruct,8,csv_excel_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
deepseek-coder-1.3b-instruct,5,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,True,2,single task (bool)
deepseek-coder-1.3b-instruct,5,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
deepseek-coder-1.3b-instruct,5,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,False,1,single task (bool)
deepseek-coder-1.3b-instruct,5,csv_excel_3,Completion Rate,CR,CR,0.5,0.5,Completion Rate
deepseek-coder-1.3b-instruct,4,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,Error,0,single task
deepseek-coder-1.3b-instruct,4,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,Error,0,single task
deepseek-coder-1.3b-instruct,4,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,Error,0,single task
deepseek-coder-1.3b-instruct,4,csv_excel_3,Completion Rate,CR,CR,0.0,0.0,Completion Rate
deepseek-coder-1.3b-instruct,6,human_16,Pattern recognition,Clustering Quality (Silhouette Score),Silhouette Score,Error,0,single task
deepseek-coder-1.3b-instruct,6,human_16,Data visualization,Visualization Accuracy (Visual Similarity),Visualization Quality,Error,0,single task
