model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
Meta-Llama-3-8B-Instruct,3,human_5,Data exploration and statistics understand,Feature Selection Impact,Data Validity,Error,0,single task
Meta-Llama-3-8B-Instruct,3,human_5,Predictive modeling,Model Accuracy,Model Accuracy,Error,0,single task
Meta-Llama-3-8B-Instruct,3,human_5,Predictive modeling,F1 Score,Model Accuracy,Error,0,single task
Meta-Llama-3-8B-Instruct,3,human_5,Interpretability and report generation,Report Completeness Score,Report Completeness,0,1,single task (int)
Meta-Llama-3-8B-Instruct,3,human_5,Completion Rate,CR,CR,0.125,0.125,Completion Rate
Meta-Llama-3-8B-Instruct,5,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,5,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,5,human_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
Meta-Llama-3-8B-Instruct,4,human_3,Data cleaning and preprocessing,Column Integrity Check,Data Quality Score,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,4,human_3,Data exploration and statistics understand,Row Count Comparison,Data Consistency,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,4,human_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
Meta-Llama-3-8B-Instruct,2,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,2,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,2,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,2,csv_excel_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
Meta-Llama-3-8B-Instruct,0,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,0,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,0,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,0,csv_excel_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
Meta-Llama-3-8B-Instruct,1,csv_excel_3,Data cleaning and preprocessing,Data Completeness,Data Completeness,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,1,csv_excel_3,Data exploration and statistics understand,Descriptive Statistics Accuracy,Data Accuracy,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,1,csv_excel_3,Interpretability and report generation,Report Coherency,Report Quality,True,2,single task (bool)
Meta-Llama-3-8B-Instruct,1,csv_excel_3,Completion Rate,CR,CR,1.0,1.0,Completion Rate
Meta-Llama-3-8B-Instruct,4,human_16,Pattern recognition,Clustering Quality (Silhouette Score),Silhouette Score,Error,0,single task
