model_name,run_id,data_name,task_name,metric_name,function_name,result_value,result_cr,result_type
gpt-4-turbo,7,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo,7,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,7,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,7,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,7,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,7,human_8,Completion Rate,CR,CR,0.4,0.4,Completion Rate
gpt-4-turbo,3,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo,3,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,False,1,single task (bool)
gpt-4-turbo,3,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,3,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,3,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,3,human_8,Completion Rate,CR,CR,0.5,0.5,Completion Rate
gpt-4-turbo-ca,1,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo-ca,1,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo-ca,1,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo-ca,1,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo-ca,1,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo-ca,1,human_8,Completion Rate,CR,CR,0.4,0.4,Completion Rate
gpt-4-turbo,2,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,2,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,2,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,2,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,2,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,2,human_8,Completion Rate,CR,CR,0.3,0.3,Completion Rate
gpt-4-turbo,9,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,9,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,9,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,9,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,9,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gpt-4-turbo,9,human_8,Completion Rate,CR,CR,0.2,0.2,Completion Rate
gpt-4-turbo,4,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,4,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,4,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,4,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,4,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,4,human_8,Completion Rate,CR,CR,0.3,0.3,Completion Rate
gpt-4-turbo,0,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,0,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,0,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,0,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,0,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,0,human_8,Completion Rate,CR,CR,0.3,0.3,Completion Rate
gpt-4-turbo,8,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,8,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,8,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,8,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,8,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,8,human_8,Completion Rate,CR,CR,0.3,0.3,Completion Rate
gpt-4-turbo,1,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo,1,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,False,1,single task (bool)
gpt-4-turbo,1,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,1,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,1,human_8,Interpretability and report generation,Report Completeness,Report Completeness,False,1,single task (bool)
gpt-4-turbo,1,human_8,Completion Rate,CR,CR,0.4,0.4,Completion Rate
gpt-4-turbo,5,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,False,1,single task (bool)
gpt-4-turbo,5,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,5,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,5,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,5,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,5,human_8,Completion Rate,CR,CR,0.3,0.3,Completion Rate
gpt-4-turbo,6,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo,6,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,Error,0,single task
gpt-4-turbo,6,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,Error,0,single task
gpt-4-turbo,6,human_8,Data visualization,Feature Importance Scores,Plot Validity,Error,0,single task
gpt-4-turbo,6,human_8,Interpretability and report generation,Report Completeness,Report Completeness,True,2,single task (bool)
gpt-4-turbo,6,human_8,Completion Rate,CR,CR,0.4,0.4,Completion Rate
gpt-4-turbo-ca,2,human_8,Data cleaning and preprocessing,Data Cleaning Quality,Data Cleaning Completeness,True,2,single task (bool)
gpt-4-turbo-ca,2,human_8,Data mining,Clustering Silhouette Score,Silhouette Score,True,2,single task (bool)
gpt-4-turbo-ca,2,human_8,Pattern recognition,Association Rule Strength (Lift),Pattern Recognition Validity,True,2,single task (bool)
